 2 Zach_Osburn               33   4   5
 4 Anthony_Scarsella          9   1   0
 7 Damian_Chrcek             11   1   0
 9 Mitchell_Lewandowski      36  19  15
10 Sam_Saliba                36   6   3
11 Tommy_Apap                30   2   2
12 Tommy_Miller              36   0  10
13 Brennan_Sanford           32   5   3
14 Dylan_Pavelek              7   0   2
16 Brody_Stevens             22   2   2
17 Taro_Hirose               36  12  30
18 Carson_Gatt               36   4  15
19 David_Keefer              34   3   7
21 Jake_Smith                31   2   3
23 Cody_Milan                33   6  15
24 Austin_Kamer              29   1   1
28 Gianluca_Esteves          35   0   3
31 John_Lethemon             34   0   0
41 Spencer_Wright             0   0   0
44 Butrus_Ghafari            29   2   1
45 Ed_Minney                  9   0   0
52 Mitch_Eliot               26   2   3
55 Patrick_Khodorenko        36  13  19
57 Jerad_Rosburg             36   1  10
71 Logan_Lambdin             35   5   5
